"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOIC-14";1;"ATTINY404-SSNR";;;
2;",,,,,,,,,,,,";"buzzardLabel";13;"";;;
3;"R2,R1";"0603R";2;"100R";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"G***";"Logo-Back-SolderedVERTICAL-10mm";1;"LOGO";;;
6;"C2,C6";"1206C";2;"10uF";;;
7;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
8;"R6,R5";"0603R";2;"10k";;;
9;"K5,K3";"easyC-connector";2;"easyC-SMD";;;
10;"Q1";"SOT-23-3";1;"MMBT4403";;;
11;"R3";"0603R";1;"20k";;;
12;"C5,C4,C3,C1";"0603C";4;"100nF";;;
13;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
14;"K4";"HEADER-UPDI";1;"HEADER-UPDI";;;
15;"K6";"DSHP03TS-S";1;"DSHP03TS-S";;;
16;"U1";"SOP-16";1;"HX711";;;
17;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
18;"C7";"0603C";1;"0.1uF";;;
19;"G***,G***";"Symbol-Front-Scale";2;"LOGO";;;
20;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
21;"R7";"0603R";1;"10R";;;
22;"R4";"0603R";1;"8.2k";;;
23;"K1";"HEADER_MALE_5X1";1;"HEADER_MALE_5X1";;;
24;"K2";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
25;"REF**";"Symbol-Front_I2C_ADDR_CUSTOM";1;"Symbol-Front_I2C_ADDR_CUSTOM";;;
26;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
